question,answer,context
Why a leaf is boiled in alcohol before doing starch test ?,The leaf is boiled to remove its chlorophyll. Green colour of chlorophyll might hinder the reaction of starch with iodine.,"Figure 6.2 Variegated leaf (a) before and (b) after starch test
 n
 Take a potted plant with variegated leaves – for example, money plant or crotons. Keep the plant in a dark room for three days so that all the starch gets used up. Now keep the plant in sunlight for about six hours. Pluck a leaf from the plant. Mark the green areas in it and trace them on a sheet of paper. Dip the leaf in boiling water for a few minutes. After this, immerse it in a beaker containing alcohol. Carefully place the above beaker in a water-bath and heat till the alcohol begins to boil. What happens to the colour of the leaf? What is the colour of the solution? Now dip the leaf in a dilute solution of iodine for a few minutes. Take out the leaf and rinse off the iodine solution. Observe the colour of the leaf and compare this with the tracing of the leaf done in the beginning (Fig. 6.2). What can you conclude about the presence of starch in various areas of the leaf?
 Take a potted plant with variegated leaves – for example, money plant or crotons. Keep the plant in a dark room for three days so that all the starch gets used up. Now keep the plant in sunlight for about six hours. Pluck a leaf from the plant. Mark the green areas in it and trace them on a sheet of paper. Dip the leaf in boiling water for a few minutes. After this, immerse it in a beaker containing alcohol. Carefully place the above beaker in a water-bath and heat till the alcohol begins to boil. What happens to the colour of the leaf? What is the colour of the solution? Now dip the leaf in a dilute solution of iodine for a few minutes. Take out the leaf and rinse off the iodine solution. Observe the colour of the leaf and compare this with the tracing of the leaf done in the beginning (Fig. 6.2). What can you conclude about the presence of starch in various areas of the leaf?
 "
You want to study a decomposition reaction by taking ferrous sulphate crystals in a boiling tube. List two precautions you would follow while doing the experiment. , Take a dry boiling tube.  Keep mouth of test-tube away from yourself. 1 + 1 ,"Put small pieces of the samples separately in beakers half-filled with cold water.
 "
"While studying a type of reactions, Neena mixed the substances as shown below :", Copper is displaced by iron.  It is a displacement reaction. ,"Copper
 Zinc oxide Magnesium oxide Copper oxide In which cases will you find displacement reactions taking place? 2.
 In this reaction, iron has displaced or removed another element, copper, from copper sulphate solution. This reaction is known as displacement reaction. Other examples of displacement reactions are Zn(s) + CuSO4(aq) → ZnSO4(aq) + Cu(s) (1.25) (Copper sulphate)
 "
Observe the following figures A and B. Iron nail Copper sulphate solution Ferrous sulphate crystals State the change in substances taken is test-tubes A and B. Mention the type of reaction in each case.   Has Neena observed the occurrence of reaction ? If not why ?  What kind of reaction she wanted to study ? ," No, the substances should be taken in solution form.  Double displacement reaction. ","displacement reaction.
 "
"On keeping iron nails in blue coloured copper sulphate solution, it is observed that the colour of the solution turns light green after some time. Give reason for this colour change. Name the type of this reaction. ","In A, green colour of solution fades away and brown red deposition on iron nail occursdisplacement reaction. In B, a reddish brown substance is left in the testtube-decomposition reaction. ","Figure 1.8 (b) Iron nails and copper sulphate solutions compared before and after the experiment
 Why does the iron nail become brownish in colour and the blue colour of copper sulphate solution fades? The following chemical reaction takes place in this Activity– Fe(s) + CuSO4(aq) → (Copper sulphate)
 Why does the iron nail become brownish in colour and the blue colour of copper sulphate solution fades? The following chemical reaction takes place in this Activity– Fe(s) + CuSO4(aq) → (Copper sulphate)
 "
"While performing an experiment a student observes that when he heats some green crystals in a boiling tube, the colour of the crystals changes to brown and a gas evolves which smells like burning sulphur. Interpret the observations and results. ","Observation : The green colour of ferrous sulphate crystals changes to brownish black ferric oxide and smell of burning sulphur is observed. Result : Heating of ferrous sulphate is a thermal decomposition reaction because ferrous sulphate breaks down into simpler compounds—Fe2O3, SO2 and SO3. Heat → Fe2O3 + SO2 + SO3 2FeSO4 ","Figure 1.4 Correct way of heating the boiling tube containing crystals of ferrous sulphate and of smelling the odour
 Take about 2 g ferrous sulphate crystals in a dry boiling tube. Note the colour of the ferrous sulphate crystals. Heat the boiling tube over the flame of a burner or spirit lamp as shown in Fig. 1.4. Observe the colour of the crystals after heating.
 Take about 2 g ferrous sulphate crystals in a dry boiling tube. Note the colour of the ferrous sulphate crystals. Heat the boiling tube over the flame of a burner or spirit lamp as shown in Fig. 1.4. Observe the colour of the crystals after heating.
 Have you noticed that the green colour of the ferrous sulphate crystals has changed? You can also smell the characteristic odour of burning sulphur. Heat 2FeSO4(s)  → Fe2O3(s) + SO2(g) + SO3(g) (Ferrous sulphate)
 Have you noticed that the green colour of the ferrous sulphate crystals has changed? You can also smell the characteristic odour of burning sulphur. Heat 2FeSO4(s)  → Fe2O3(s) + SO2(g) + SO3(g) (Ferrous sulphate)
 "
Fill up the gaps left in the following table : Experiment Observation Inference in the type of reaction  Quick lime + water  Ferrous sulphate + Heat crystals," Evolution of steamy vapours/container becomes warm, combination reaction.  Evolution of gases /smell like burning sulphur/brown residue left in container, Decomposition reaction.","mixture is burnt to give a clean blue flame. If you observe the bottoms of cooking vessels getting blackened, it means that the air holes are blocked and fuel is getting wasted. Fuels such as coal and petroleum have some amount of nitrogen and sulphur in them. Their combustion results in the formation of oxides of sulphur and nitrogen which are major pollutants in the environment.
 "
What is the theory behind the precipitation reaction between aqueous solution of barium chloride with aqueous solution of sodium sulphate ?,"When a solution of sodium sulphate is mixed with a solution of barium chloride, the following double displacement reaction takes place : → BaSO4 + 2NaCl Na2SO4 + BaCl2  In this reaction, sulphate ions from sodium sulphate are displaced by chloride ions  and chloride ions in barium chloride are displaced by sulphate ions. As a result, a white precipitate of barium sulphate is formed and sodium chloride remains in the solution.","Take about 3 mL of sodium sulphate solution in a test tube. In another test tube, take about 3 mL of barium chloride solution. Mix the two solutions (Fig. 1.9). What do you observe?
 "
What happens when barium chloride solution and sodium sulphate solution are mixed together? Write the chemical equation.,"An insoluble salt is formed, which is barium sulphate and white in colour. BaCl2 + Na2SO4 → BaSO4 + 2NaCl ","BaCl2 + H2SO4 → BaSO4 + HCl
 "
"Solutions of ferrous sulphate, zinc sulphate, copper sulphate and aluminium sulphate were separately taken in four test-tubes and some iron nails were placed in each of the solutions. What will you observe after few seconds?",Iron will react only with CuSO4 solution as Fe is more reactive than Cu.,"Iron(II) sulphate
 (Iron sulphate)
 In this reaction, iron has displaced or removed another element, copper, from copper sulphate solution. This reaction is known as displacement reaction. Other examples of displacement reactions are Zn(s) + CuSO4(aq) → ZnSO4(aq) + Cu(s) (1.25) (Copper sulphate)
 "
A student added aluminium pieces in ferrous sulphate solution taken in a test-tube. Write down the colour change she observed in the solution?,Solution becomes pale green to colourless.,"Take a small amount of copper oxide in a beaker and add dilute hydrochloric acid slowly while stirring. Note the colour of the solution. What has happened to the copper oxide?
 You will notice that the colour of the solution becomes blue-green and the copper oxide dissolves. The blue-green colour of the solution is due to the formation of copper(II) chloride in the reaction. The general reaction between a metal oxide and an acid can be written as – Metal oxide + Acid → Salt + Water
 You will notice that the colour of the solution becomes blue-green and the copper oxide dissolves. The blue-green colour of the solution is due to the formation of copper(II) chloride in the reaction. The general reaction between a metal oxide and an acid can be written as – Metal oxide + Acid → Salt + Water
 "
Sarthak took two test-tubes A and B containing pale green and blue solutions respectively. Write down the name of the respective solutions taken in test tube A and B?,Solution taken in A is FeSO4 and B is CuSO4.,"FeSO4(aq)
 "
"If two resistors of value R are connected in series and then in parallel, what is the difference in equivalent resistance in both cases ?","(a) 3R/2 Equivalent resistance in series (Rs) = R + R = 2R Equivalent resistance in parallel, (Rp),","The equivalent resistance of several resistors in series is equal to the sum of their individual resistances.
 n
 A set of resistors connected in parallel has an equivalent resistance R p given by 1 1 1 1 = + + + ... R p R1 R 2 R 3
 A set of resistors connected in parallel has an equivalent resistance R p given by 1 1 1 1 = + + + ... R p R1 R 2 R 3
 "
Which colour is produced in pH paper when we put a drop of distilled water on it ? What is the pH of distilled water ?,"Colour - Green , pH- neutral; 7","Colour of Approx- Nature of pH paper -imate substance pH value
 1 Saliva (before meal) 2 Saliva (after meal) 3 Lemon juice 4 Colourless aerated drink 5 Carrot juice 6 Coffee 7 Tomato juice 8 Tap water 9 1M NaOH 10 1M HCl
 Figure 2.7 pH of some common substances shown on a pH paper (colours are only a rough guide)
 "
What will be the action of liquid antacid on litmus paper ? Is it acidic or basic ?,It will turn red litmus blue as it is basic in nature.,"Collect the following solutions from the science laboratory– hydrochloric acid (HCl), sulphuric acid (H2SO4), nitric acid (HNO3), acetic acid (CH 3COOH), sodium hydroxide (NaOH), calcium hydroxide [Ca(OH)2], potassium hydroxide (KOH), magnesium hydroxide [Mg(OH)2], and ammonium hydroxide (NH4OH). Put a drop of each of the above solutions on a watch-glass one by one and test with a drop of the indicators shown in Table 2.1. What change in colour did you observe with red litmus, blue litmus, phenolphthalein and methyl orange solutions for each of the solutions taken? Tabulate your observations in Table 2.1.
 Table 2.1 Sample solution
 Red litmus solution
 Red litmus solution
 Blue litmus solution
 E X E R C I S E S 1. A solution turns red litmus blue, its pH is likely to be (a) 1
 "
Write two properties of a base based on taste and reaction with metals.,Base is bitter in taste and produces hydrogen gas when reacted with metals.,"Bases generate hydroxide (OH–) ions in water. Bases which are soluble in water are called alkalis.
 All bases do not dissolve in water. An alkali is a base that dissolves in water. They are soapy to touch, bitter and corrosive. Never taste or touch them as they may cause harm. Which of the bases in the Table 2.1 are alkalis?
 Base used
 "
The pH of the solution is less than 7. What does it indicate ? What is the pH of 1M HCl solution ?,It indicates that the given solution is acidic in nature. The pH of 1M HCl solution is zero.,"HCl
 "
"On opening the soda bottle, the dissolved CO2 comes out. Would the pH of the solution increase or decrease as the gas comes out ? Explain your answer either way. ","CO2 is acidic oxide. As CO2 comes out of the solution, acidic character of solution decreases and as such pH increases.","Take a small amount of copper oxide in a beaker and add dilute hydrochloric acid slowly while stirring. Note the colour of the solution. What has happened to the copper oxide?
 You will notice that the colour of the solution becomes blue-green and the copper oxide dissolves. The blue-green colour of the solution is due to the formation of copper(II) chloride in the reaction. The general reaction between a metal oxide and an acid can be written as – Metal oxide + Acid → Salt + Water
 You will notice that the colour of the solution becomes blue-green and the copper oxide dissolves. The blue-green colour of the solution is due to the formation of copper(II) chloride in the reaction. The general reaction between a metal oxide and an acid can be written as – Metal oxide + Acid → Salt + Water
 "
Write two precautions required while finding the pH of the samples.,"(i) Wash the test-tubes and other glass apparatus thoroughly with distilled water, before use. (ii) All solutions should be freshly prepared.","Put small pieces of the samples separately in beakers half-filled with cold water.
 "
"Bottle A contains oxalic acid and bottle B contains sodium carbonate solution. When pH paper is dipped in each of the solutions, the colour seen in A and B respectively be _________.",The colour of pH paper is orange in acidic medium while it is blue in basic medium.,"Colour of Approx- Nature of pH paper -imate substance pH value
 1 Saliva (before meal) 2 Saliva (after meal) 3 Lemon juice 4 Colourless aerated drink 5 Carrot juice 6 Coffee 7 Tomato juice 8 Tap water 9 1M NaOH 10 1M HCl
 Figure 2.7 pH of some common substances shown on a pH paper (colours are only a rough guide)
 "
To test the presence of an acid with a strip of red litmus paper you would ________.,"Since red litmus shows no colour change with acids, it is first to be changed to blue litmus. So, first dip the strip in alkaline solution and then use it to test the sample.","Collect the following solutions from the science laboratory– hydrochloric acid (HCl), sulphuric acid (H2SO4), nitric acid (HNO3), acetic acid (CH 3COOH), sodium hydroxide (NaOH), calcium hydroxide [Ca(OH)2], potassium hydroxide (KOH), magnesium hydroxide [Mg(OH)2], and ammonium hydroxide (NH4OH). Put a drop of each of the above solutions on a watch-glass one by one and test with a drop of the indicators shown in Table 2.1. What change in colour did you observe with red litmus, blue litmus, phenolphthalein and methyl orange solutions for each of the solutions taken? Tabulate your observations in Table 2.1.
 Table 2.1 Sample solution
 Red litmus solution
 Red litmus solution
 Blue litmus solution
 "
What happens when phenolphthalein is added to an acidic solution ?,"No colour change is observed. It gives pink colour in basic solution. ACIDS, BASES AND SALTS","Collect the following solutions from the science laboratory– hydrochloric acid (HCl), sulphuric acid (H2SO4), nitric acid (HNO3), acetic acid (CH 3COOH), sodium hydroxide (NaOH), calcium hydroxide [Ca(OH)2], potassium hydroxide (KOH), magnesium hydroxide [Mg(OH)2], and ammonium hydroxide (NH4OH). Put a drop of each of the above solutions on a watch-glass one by one and test with a drop of the indicators shown in Table 2.1. What change in colour did you observe with red litmus, blue litmus, phenolphthalein and methyl orange solutions for each of the solutions taken? Tabulate your observations in Table 2.1.
 "
Which of the following statement is not correct ? Why ? 		(i) Water will represent 7 on this scale. 		(ii) Nitric acid will represent 1 on this scale. 		(iii) Sulphuric acid will represent 14 on this scale. 		(iv) Washing soda will represent 9 on this scale.,Incorrect statement : Sulphuric acid will represent 14 on this scale. Acids have the pH between 0-7.,"The strength of an acid or an alkali can be tested by using a scale called the pH scale (0-14) which gives the measure of hydrogen ion concentration in a solution.
 n
 A neutral solution has a pH of exactly 7, while an acidic solution has a pH less than 7 and a basic solution a pH more than 7.
 "
Write two precautions to be taken while finding the image distance using a convex lens.,(i) Use a very sharp tipped pencil to draw thin lines to represent incident and refracted rays. (ii) The convex lens drawn should be thin and of small aperture. (This is required for obtaining the distinct image.) LIGHT–REFLECTION AND REFRACTION,"Take a convex lens. Find its approximate focal length in a way described in Activity 10.11. Draw five parallel straight lines, using chalk, on a long Table such that the distance between the successive lines is equal to the focal length of the lens. Place the lens on a lens stand. Place it on the central line such that the optical centre of the lens lies just over the line. The two lines on either side of the lens correspond to F and 2F of the lens respectively. Mark them with appropriate letters such as 2F1, F1, F2 and 2F2, respectively. Place a burning candle, far beyond 2F1 to the left. Obtain a clear sharp image on a screen on the opposite side of the lens. Note down the nature, position and relative size of the image. Repeat this Activity by placing object just behind 2F1, between F1 and 2F1 at F1, between F1 and O. Note down and tabulate your observations.
 "
Write two precautions to be taken while tracing the path of a ray of light passing through a rectangular glass slab for different angles of incidence.,"(i) The glass slab should be perfectly rectangular with all its faces smooth. (ii) While fixing the pins P1 and P2 or the pins P3 and P4, care should be taken to maintain a distance of about 5 cm between the two pins. This would help in tracing the direction of incident ray and that of emergent ray with greater accuracy.","Here PE is the incident ray, EF is the refracted ray and FS is the emergent ray. You may note that a ray of light is entering from air to glass at the first surface AB. The light ray on refraction has bent towards the normal. At the second surface AC, the light ray has entered from glass to air. Hence it has bent away from normal. Compare the angle of incidence and the angle of refraction at each refracting surface of the prism. Is this similar to the kind of bending that occurs in a glass slab? The peculiar shape of the prism makes the emergent ray bend at an angle to the direction of the incident ray. This angle is called the angle of deviation. In this case ∠D is the angle of deviation. Mark the angle of deviation in the above activity and measure it.
 Draw a thick straight line in ink, over a sheet of white paper placed on a Table. Place a glass slab over the line in such a way that one of its edges makes an angle with the line. Look at the portion of the line under the slab from the sides. What do you observe? Does the line under the glass slab appear to be bent at the edges? Next, place the glass slab such that it is normal to the line. What do you observe now? Does the part of the line under the glass slab appear bent? Look at the line from the top of the glass slab. Does the part of the line, beneath the slab, appear to be raised? Why does this happen?
 10.3.1 Refraction through a Rectangular Glass Slab To understand the phenomenon of refraction of light through a glass slab, let us do an Activity.
 "
Write two precautions to be taken while tracing the path of a ray of light passing through a rectangular glass prism.,"(i) While viewing the collinearity of pins and images, the eye should be kept at a distance from the pins so that all of them can be seen simultaneously. The collinearity of pins fixed on one side of the glass prism and the images of pins on the other side could also be confirmed by moving the head slightly to either side while viewing them. All the pins and images of pins would appear to move together if they are collinear. (ii) The pins P1, P2, P3 and P4 fixed on the paper may not be exactly perpendicular (or vertical) to the plane of paper. It is therefore desirable to look at the feet of the pins or their images while establishing their collinearity. That is why the position of each pin is marked with pointed tip of the pins on the paper.","Fix a sheet of white paper on a drawing board using drawing pins. Place a rectangular glass slab over the sheet in the middle. Draw the outline of the slab with a pencil. Let us name the outline as ABCD. Take four identical pins. Fix two pins, say E and F, vertically such that the line joining the pins is inclined to the edge AB. Look for the images of the pins E and F through the opposite edge. Fix two other pins, say G and H, such that these pins and the images of E and F lie on a straight line. Remove the pins and the slab. Join the positions of tip of the pins E and F and produce the line up to AB. Let EF meet AB at O. Similarly, join the positions of tip of the pins G and H and produce it up to the edge CD. Let HG meet CD at O′. Join O and O′. Also produce EF up to P, as shown by a dotted line in Fig. 10.10.
 "
A student focussed the Sun rays using an optical device ‘X’ on a screen S as shown. 40 cm What conclusion can be drawn based on this about device X?,"Light rays from infinity are converged at the focal point of the convex lens. Therefore, the focal length of the convex lens is 20 cm.","Take a convex lens. Find its approximate focal length in a way described in Activity 10.11. Draw five parallel straight lines, using chalk, on a long Table such that the distance between the successive lines is equal to the focal length of the lens. Place the lens on a lens stand. Place it on the central line such that the optical centre of the lens lies just over the line. The two lines on either side of the lens correspond to F and 2F of the lens respectively. Mark them with appropriate letters such as 2F1, F1, F2 and 2F2, respectively. Place a burning candle, far beyond 2F1 to the left. Obtain a clear sharp image on a screen on the opposite side of the lens. Note down the nature, position and relative size of the image. Repeat this Activity by placing object just behind 2F1, between F1 and 2F1 at F1, between F1 and O. Note down and tabulate your observations.
 "
"A student is observing a permanent slide showing sequentially the different stages of asexual reproduction taking place in yeast. Name this process and draw diagrams, of what he observes, in a proper sequence. ",Developing bud Chain of buds New bud Yeast cell (Three/four diagrams in proper sequence)1 + 1 = 2 ,"8.2.4 Budding Organisms such as Hydra use regenerative cells for reproduction in the process of budding. In Hydra, a bud develops as an outgrowth due Figure 8.3 Regeneration in Planaria to repeated cell division at one specific site (Fig. 8.4). These buds develop into tiny individuals and when fully mature, detach from the parent body and become new independent individuals.
 Figure 8.4 Budding in Hydra
 "
Draw a labelled diagram to show that particular stage of binary fission in Amoeba in which its nucleus elongates and divide into two and a constriction appears in its cell membrane. ,Daughter Cells ,"An electric cell
 2
 A battery or a combination of cells
 "
In which asexual reproduction two individuals are formed from a single parent and the parental identity is lost ? Draw the initial and the final stages of this type of reproduction to justify your answer. Write the event with which this process starts.  Constriction,Binary Fission : Initial Stage Final Stage Process starts with elongation of nucleus. ,"Observe a permanent slide of Amoeba under a microscope. Similarly observe another permanent slide of Amoeba showing binary fission. Now, compare the observations of both the slides.
 Figure 8.1(a) Binary fission in Amoeba
 How does binary fission differ from multiple fission?
 "
A student confirms binary fission process in a unicellular organism after observing a slide under microscope. What he might have observed in that slide to reach to this condition ? ,(i) An organism having elongated and constricted nucleus. (ii) An organism having two nuclei with constriction in between.  1 + 1,"Name (a) three elements that have a single electron in their outermost shells. (b) two elements that have two electrons in their outermost shells. (c) three elements with filled outermost shells.
 "
Are binary fission and budding faster processes of reproduction when compared to sexual reproduction. Justify.,"Yes. Binary fission and budding do not involve any variations, also these involve single parent. 1 + 1","How does binary fission differ from multiple fission?
 "
Draw a diagram showing different parts of an embryo of gram seed and label them.  Plumule,Cotyledon Radicle Diagram Three labellings,"Draw the structures for the following compounds. (i) Ethanoic acid (iii) Butanone
 "
"You have to perform the experiment, “To identify the different parts of an embryo of a gram seed”. Describe the procedure that you would follow. ",(i) Soak a few seeds of gram/Bengal gram/chana/ kidney beans/ etc and leave them overnight. (ii) Drain the excess water. (iii) Cover the seeds with a wet cloth and leave them for a day. (iv) Cut open the seed carefully and observe the different parts.,"Soak a few seeds of Bengal gram (chana) and keep them overnight. Drain the excess water and cover the seeds with a wet cloth and leave them for a day. Make sure that the seeds do not become dry. Cut open the seeds carefully and observe the different parts. Compare your observations with the Fig. 8.9 and see if you can identify all the parts.
 "
Write the procedure for seed germination.,(i) Take a petri dish. Place damp cotton on it. (ii) Put the dicot seeds on the petri dish. Allow it to germinate. (iii) Place the germinated seed on the watch glass. (iv) Open the two cotyledons with a forceps and needle. (v) Observe the structure of seed. (iv) Also observe the embryonal axis with a magnifying glass and label its parts.,"Figure 8.9 Germination
 "
Distinguish between albuminous seed and exalbuminous seed.,"Albuminous seed : Seeds having copious amount of endosperm. e.g., Wheat Ex-albuminous seed : Seeds in which endosperm is used up. e.g., Grass","6.5.2 Excretion in Plants
 Think it over!
 Plants use completely different strategies for excretion than those of animals. Oxygen itself can be thought of as a waste product generated during photosynthesis! We have discussed earlier how plants deal with oxygen as well as CO2. They can get rid of excess water by transpiration. For other wastes, plants use the fact that many of their tissues consist of dead cells, and that they can even lose some parts such as leaves. Many plant waste products are stored in cellular vacuoles. Waste products may be stored in leaves that fall off. Other waste products are stored as resins and gums, especially in old xylem. Plants also excrete some waste substances into the soil around them.
 "
Write two precautions to be taken while identifying different parts of an embryo of a dicot seed.,"(i) Conditions for the seed germination should be optimum i.e. warmth, moisture and air. (ii) Care should be taken to separate two cotyledons so that the embryonal axis is intact.","Figure 8.9 Germination
 "
The students of a class were asked by the teacher to study the different parts of an embryo of an angiosperm. Write down the correct steps for the experiment ?,"First of all, take some dry gram seeds in a Petri dish. Now, soak the seeds in plain water and keep them overnight. Drain the excess water. After that, cover the soaked seeds with a wet cotton cloth and leave them for a day. Finally, cut open a soaked seed and observe its different parts.","Soak a few seeds of Bengal gram (chana) and keep them overnight. Drain the excess water and cover the seeds with a wet cloth and leave them for a day. Make sure that the seeds do not become dry. Cut open the seeds carefully and observe the different parts. Compare your observations with the Fig. 8.9 and see if you can identify all the parts.
 "
"Write down the name of materials required in the experiment, germination of seeds?","For showing germination, seeds of gram, water, bowl and wet clothes are required.","Soak a few seeds of Bengal gram (chana) and keep them overnight. Drain the excess water and cover the seeds with a wet cloth and leave them for a day. Make sure that the seeds do not become dry. Cut open the seeds carefully and observe the different parts. Compare your observations with the Fig. 8.9 and see if you can identify all the parts.
 Figure 8.9 Germination
 Figure 8.9 Germination
 "
A student was asked to observe and identify the various parts of an embryo of a red kidney bean seed. He identified the parts and listed them as under: (i) Tegmen HOW DO ORGANISMS REPRODUCE ? (ii) Testa (iii) Cotyledon (iv) Radicle (v) Plumule Write down the correctly identified parts among these?,"Testa, Radical and Plumule are various parts of an embryo of a red kidney bean.","Testes
 "
A student has to perform the experiment “To identify the different parts of an embryo of a dicot seed.” Name three dicot seeds? Seeds on germination give rise to ______ and _________.,"Three dicot seeds are: Red kidney bean, Pea and gram. Seeds on germination give rise to radicle and plumule","3 (in Fe3O4) 3
 "
(a) Name the structure which stores food in the seeds? (b) What is the importance of seed coat in a dicotyledonous seed?,(a) Cotyledons store food. (b) Seed coat is for protection,"How is food transported in plants?
 "
"On the basis of sequence of reactions, identify the most and least reactive elements. 				A + BX → AX + B 				C + AY → CY + A",Most reactive : C Least reactive : B,"Most reactive
 Reactivity decreases
 Least reactive
 "
"Iron fillings are put in different test-tubes A, B, C and D containing ZnSO4, CuSO4, Al2(SO4)3, CaCl2 solutions respectively. In which of the following test-tubes change will be observed ? Al2(SO4)3 solution CuSO4 solution ZnSO4 solution CaCl2 solution Iron Fillings",In test-tube B change will be observed because iron is more reactive than copper and it will displace Cu from CuSO4. CuSO4 + Fe → FeSO4 + Cu.,"What would you observe if B is added to a solution of Copper(II) sulphate?
 Figure 1.8 (b) Iron nails and copper sulphate solutions compared before and after the experiment
 Why does the iron nail become brownish in colour and the blue colour of copper sulphate solution fades? The following chemical reaction takes place in this Activity– Fe(s) + CuSO4(aq) → (Copper sulphate)
 "
A student performed the following four experiments. HCl FeSO4 CuSO4 AgNO3 Ag Cu Al Au In which experiment no reaction occured ?,"Reaction does not occur in I, II, IV Reason : It occured in (III) because Al is more reactive than Cu, so it will displace Cu from CuSO4. 1 + 1","No reaction
 No reaction
 E X E R C I S E S 1. Which of the following pairs will give displacement reactions? (a) (b) (c)
 "
What is the theory behind the chemical reaction of zinc with sulphuric acid ?,Zinc metal reacts with dil. sulphuric acid and produces hydrogen gas. Zn(s) + H2SO4(aq) → ZnSO4(aq) + H2(g) This is an example of a single displacement reaction of a non-metal by a metal.,"In this reaction, iron has displaced or removed another element, copper, from copper sulphate solution. This reaction is known as displacement reaction. Other examples of displacement reactions are Zn(s) + CuSO4(aq) → ZnSO4(aq) + Cu(s) (1.25) (Copper sulphate)
 "
How lime water is prepared ?,Preparation of lime water : Shake 5 g calcium oxide (CaO) with 100 mL water. Allow it to stand for about 24 hours. Decant the supernatant liquid and use it for the tests. It is suggested to always use freshly prepared lime water. ,"Test tube containing lime water
 Lime water
 Figure 1.3 Formation of slaked lime by the reaction of calcium oxide with water
 Take a small amount of calcium oxide or quick lime in a beaker. Slowly add water to this. Touch the beaker as shown in Fig. 1.3. Do you feel any change in temperature?
 "
A piece of granulated Zn was dropped into copper sulphate solution. Write down the colour change that you will observe? Write down the chemical equation.,"Blue solution becomes colourless, reddish brown Cu gets deposited. Zn + CuSO4 → ZnSO4 + Cu","Take a small amount of copper oxide in a beaker and add dilute hydrochloric acid slowly while stirring. Note the colour of the solution. What has happened to the copper oxide?
 You will notice that the colour of the solution becomes blue-green and the copper oxide dissolves. The blue-green colour of the solution is due to the formation of copper(II) chloride in the reaction. The general reaction between a metal oxide and an acid can be written as – Metal oxide + Acid → Salt + Water
 You will notice that the colour of the solution becomes blue-green and the copper oxide dissolves. The blue-green colour of the solution is due to the formation of copper(II) chloride in the reaction. The general reaction between a metal oxide and an acid can be written as – Metal oxide + Acid → Salt + Water
 "
The solution of copper sulphate fades and finally becomes light green on dipping a rod made up of ________. Explain.,"The solution of copper sulphate fades and finally becomes light green on dipping a rod made up of iron. When an iron nail is dipped in CuSO4 solution, a brown coating of Cu is formed on the surface of iron and the colour of CuSO4 solution changes for blue to light green. This reaction shows that Fe is more reactive than copper as it displaces copper from its solution and green colour FeSO4 solution is formed.","Figure 1.8 (b) Iron nails and copper sulphate solutions compared before and after the experiment
 Why does the iron nail become brownish in colour and the blue colour of copper sulphate solution fades? The following chemical reaction takes place in this Activity– Fe(s) + CuSO4(aq) → (Copper sulphate)
 Why does the iron nail become brownish in colour and the blue colour of copper sulphate solution fades? The following chemical reaction takes place in this Activity– Fe(s) + CuSO4(aq) → (Copper sulphate)
 "
"A student added a piece of zinc metal to four test-tubes I, II, III, IV which respectively contain aqueous solution of aluminium sulphate, zinc sulphate, ferrous sulphate and copper sulphate. In which solution the reaction will take place.",The reaction will take place in solution- III and IV. Zn will react with ferrous sulphate and copper sulphate. Zn + CuSO4 → ZnSO4 + Cu : Zn > Cu Zn + FeSO4 → ZnSO4 + Fe : Zn > Fe,"In this reaction, iron has displaced or removed another element, copper, from copper sulphate solution. This reaction is known as displacement reaction. Other examples of displacement reactions are Zn(s) + CuSO4(aq) → ZnSO4(aq) + Cu(s) (1.25) (Copper sulphate)
 "
"Aluminium strip was placed in a solution of copper sulphate. After one hour, it was observed that the colour of solution changes. What will be the colour of the solution? Give reason.","Aluminium will displace Cu from copper sulphate solution, so the solution will become colourless.","You will notice that the colour of the solution becomes blue-green and the copper oxide dissolves. The blue-green colour of the solution is due to the formation of copper(II) chloride in the reaction. The general reaction between a metal oxide and an acid can be written as – Metal oxide + Acid → Salt + Water
 "
"A student performed the following displacement reaction: Fe(s) + CuSO4(aq) → FeSO4(aq) + Cu(s) Zn(s) + FeSO4(aq) → ZnSO4(aq) + Fe(s) 2Al(s) + 3ZnSO4(aq) → Al2(SO4)3(aq) + 3Zn(s) Arrange Fe, Zn, Al and Cu in the decreasing order of reactivity on the basis of above reaction.","According to reactivity series, Al > Zn > Fe > Cu","3.2.5 The Reactivity Series The reactivity series is a list of metals arranged in the order of their decreasing activities. After performing displacement experiments (Activities 1.9 and 3.12), the following series, (Table 3.2) known as the reactivity or activity series has been developed. Table 3.2 Activity series : Relative reactivities of metals K Na Ca Mg Al Zn Fe Pb [H] Cu Hg Ag Au
 "
